"Cidade","Rede","Série","Disciplina","Matriculados na Série","Taxa de Participação (%)","Percentual Insuficiente (%)","Percentual Básico (%)","Percentual Proficiente (%)","Percentual Avançado (%)","Percentual Aprendizado Adequado (%)","Crescimento entre 2011 e 2013 (pp*)"
"Água Branca","Municipal","5º ano","Português","110","96.36","28.63","43.22","19.34","8.81","28.15","5.24"
"Aguiar","Municipal","5º ano","Português","43","65.12","45.66","35.56","14.76","4.02","18.78","0"
"Alagoa Grande","Municipal","5º ano","Português","205","84.39","32.14","40.51","20.99","6.36","27.35","3.93"
"Alagoa Nova","Municipal","5º ano","Português","106","88.68000000000001","30.34","44.17","22.84","2.65","25.49","17.74"
"Alagoinha","Municipal","5º ano","Português","161","76.40000000000001","34.49","42","15.95","7.56","23.51","9.92"
"Alcantil","Municipal","5º ano","Português","55","83.64","47.03","37.23","15.74","0","15.74","-8.1"
"Algodão De Jandaíra","Municipal","5º ano","Português","49","87.76000000000001","32.65","44.08","18.62","4.65","23.27","8.98"
"Alhandra","Municipal","5º ano","Português","269","87.36","53","37.43","7.52","2.05","9.57","1.64"
"Amparo","Municipal","5º ano","Português","26","80.77","42.85","42.85","14.3","0","14.3","-8.279999999999999"
"Aparecida","Municipal","5º ano","Português","44","95.45","26.85","35.46","37.69","0","37.69","22.7"
"Araçagi","Municipal","5º ano","Português","54","83.33","37.83","42.31","15.36","4.5","19.86","6.33"
"Arara","Municipal","5º ano","Português","109","88.98999999999999","26.82","42.54","21.39","9.25","30.64","8.93"
"Araruna","Municipal","5º ano","Português","170","86.47","42","46.77","9.92","1.31","11.23","3.89"
"Areia","Municipal","5º ano","Português","145","88.97","51.98","38.51","7.04","2.47","9.51","1.61"
"Areia De Baraúnas","Municipal","5º ano","Português","22","95.45","57.15","23.81","14.27","4.77","19.04","14.71"
"Areial","Municipal","5º ano","Português","181","92.27","29.08","36.07","24.39","10.46","34.85","0.5600000000000001"
"Aroeiras","Municipal","5º ano","Português","78","76.92","44.71","45.83","9.460000000000001","0","9.460000000000001","-0.03"
"Assunção","Municipal","5º ano","Português","55","90.91","26.14","41.95","21.95","9.960000000000001","31.93","-0.43"
"Baía Da Traição","Municipal","5º ano","Português","64","92.19","30.53","43.78","24.08","1.61","25.69","11.28"
"Bananeiras","Municipal","5º ano","Português","167","89.22","33.56","44.83","17.45","4.16","21.61","3.65"
"Baraúna","Municipal","5º ano","Português","56","92.86","13.96","34.45","42.01","9.58","51.6","15"
"Barra De Santa Rosa","Municipal","5º ano","Português","55","87.27","12.34","52.06","31.33","4.27","35.6","-11.14"
"Barra De Santana","Municipal","5º ano","Português","111","98.2","43.2","38.3","12.08","6.42","18.5","2.84"
"Barra De São Miguel","Municipal","5º ano","Português","89","93.26000000000001","38.82","36.87","20.72","3.59","24.31","3.41"
"Bayeux","Municipal","5º ano","Português","878","83.26000000000001","35.11","44.85","17.09","2.95","20.04","1.2"
"Belém","Municipal","5º ano","Português","98","88.78","43.03","40.68","14.02","2.27","16.3","-3.16"
"Belém Do Brejo Do Cruz","Municipal","5º ano","Português","49","97.95999999999999","22.91","58.2","12.55","6.34","18.89","-2.22"
"Bernardino Batista","Municipal","5º ano","Português","39","100","19.33","44.41","33.57","2.69","36.26","-7.23"
"Boa Ventura","Municipal","5º ano","Português","27","85.19","43.48","43.49","13.03","0","13.03","0"
"Boa Vista","Municipal","5º ano","Português","39","89.73999999999999","0","26.01","49","24.99","73.98999999999999","52.08"
"Bom Jesus","Municipal","5º ano","Português","20","85","37.5","31.25","31.25","0","31.23","7.71"
"Bom Sucesso","Municipal","5º ano","Português","Sem dados*","Sem dados*","Sem dados*","Sem dados*","Sem dados*","Sem dados*","Sem dados*","Sem dados*"
"Bonito De Santa Fé","Municipal","5º ano","Português","62","90.31999999999999","30.09","51.94","14.28","3.69","17.98","1.36"
"Boqueirão","Municipal","5º ano","Português","148","88.51000000000001","37.94","46.02","10.7","5.34","16.05","1.04"
"Borborema","Municipal","5º ano","Português","40","87.5","59.8","34.48","5.72","0","5.72","-7.58"
"Brejo Do Cruz","Municipal","5º ano","Português","160","96.25","36.08","35.93","20.42","7.57","27.99","0.99"
"Brejo Dos Santos","Municipal","5º ano","Português","33","100","30.31","36.37","24.23","9.09","33.34","8.31"
"Caaporã","Municipal","5º ano","Português","338","86.39","52.04","37.96","8.35","1.65","10.01","0.79"
"Cabaceiras","Municipal","5º ano","Português","51","84.31","20.95","20.95","34.75","23.35","58.08","20.61"
"Cabedelo","Municipal","5º ano","Português","424","90.8","34.47","37.92","22.37","5.24","27.61","-6.5"
"Cachoeira Dos Índios","Municipal","5º ano","Português","139","79.14","41.6","46.68","9.140000000000001","2.58","11.71","-2.97"
"Cacimba De Areia","Municipal","5º ano","Português","36","100","73.98999999999999","22.9","3.11","0","3.11","-1.25"
"Cacimba De Dentro","Municipal","5º ano","Português","190","97.89","34.24","53.34","10.23","2.19","12.41","-3.61"
"Cacimbas","Municipal","5º ano","Português","153","87.58","61.29","32.25","4.21","2.25","6.45","-4.03"
"Caiçara","Municipal","5º ano","Português","61","86.89","47.86","44.52","7.62","0","7.62","-13.94"
"Cajazeiras","Municipal","5º ano","Português","418","89.47","34.63","40.64","17.23","7.5","24.73","7.51"
"Cajazeirinhas","Municipal","5º ano","Português","33","96.97","9.390000000000001","46.87","34.36","9.380000000000001","43.76","17.63"
"Caldas Brandão","Municipal","5º ano","Português","56","85.70999999999999","64.68000000000001","33.11","2.21","0","2.21","-1.69"
"Camalaú","Municipal","5º ano","Português","66","100","14.55","46.82","28.71","9.92","38.63","-2.77"
"Campina Grande","Municipal","5º ano","Português","Sem dados de participação*","Sem dados de participação*","29.18","41.37","21.88","7.57","29.44","0.63"
"Capim","Municipal","5º ano","Português","87","77.01000000000001","49.65","39.86","10.49","0","10.49","-6.1"
"Caraúbas","Municipal","5º ano","Português","27","96.3","38.45","46.15","7.7","7.7","15.4","-16.44"
