Cod_setor,Cod_Grandes Regiões,Nome_Grande_Regiao,Cod_UF,Nome_da_UF,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,X34
250400905000001,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25017,Campina Grande,09,RM Campina Grande,2504009,CAMPINA GRANDE,250400905,CAMPINA GRANDE,25040090500,CAMPINA GRANDE,2504009001,Centro de Campina Grande,1,0,279,796,2.85,2.99,2656.76,10543285.75,3000.95,10877658.34,1455.04,6896002.58,2291.31,8947559.08,NA
250400905000002,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25017,Campina Grande,09,RM Campina Grande,2504009,CAMPINA GRANDE,250400905,CAMPINA GRANDE,25040090500,CAMPINA GRANDE,2504009001,Centro de Campina Grande,1,0,221,621,2.81,1.88,2274.79,7807455.96,2349.2,7888417.17,1301.35,4614239.53,1850.45,5547405.33,NA
250400905000003,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25017,Campina Grande,09,RM Campina Grande,2504009,CAMPINA GRANDE,250400905,CAMPINA GRANDE,25040090500,CAMPINA GRANDE,2504009001,Centro de Campina Grande,1,0,171,479,2.8,2.97,2645.99,9984294.01,2709.37,10052132.89,1557.25,6013453.75,2159.89,7042167.77,NA
250400905000004,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25017,Campina Grande,09,RM Campina Grande,2504009,CAMPINA GRANDE,250400905,CAMPINA GRANDE,25040090500,CAMPINA GRANDE,2504009001,Centro de Campina Grande,1,0,211,568,2.69,1.99,2897.38,12801488.22,3184.1,13157210.62,1831.49,9298586.17,2675.61,11331391.67,NA
250400905000005,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25017,Campina Grande,09,RM Campina Grande,2504009,CAMPINA GRANDE,250400905,CAMPINA GRANDE,25040090500,CAMPINA GRANDE,2504009001,Centro de Campina Grande,1,0,134,239,1.78,1.19,1346.52,2269115.5,1387.95,2281524.94,1049.87,1919481.85,1288.48,2049024.19,NA
250400905000006,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25017,Campina Grande,09,RM Campina Grande,2504009,CAMPINA GRANDE,250400905,CAMPINA GRANDE,25040090500,CAMPINA GRANDE,2504009001,Centro de Campina Grande,1,0,271,721,2.66,3.03,2228.37,7445351.31,2331.61,7549987.23,1364.5,4659661.14,1828.38,5397087.54,NA
250400905000007,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25017,Campina Grande,09,RM Campina Grande,2504009,CAMPINA GRANDE,250400905,CAMPINA GRANDE,25040090500,CAMPINA GRANDE,2504009001,Centro de Campina Grande,1,0,350,978,2.79,2.04,2763.09,14751057.7,3191.69,15674266.69,1747.41,8925794.63,2626.9,11111527.99,NA
250400905000008,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25017,Campina Grande,09,RM Campina Grande,2504009,CAMPINA GRANDE,250400905,CAMPINA GRANDE,25040090500,CAMPINA GRANDE,2504009001,Centro de Campina Grande,1,0,184,390,2.12,1.38,1110.01,711806.79,1147.42,692761.47,772.93,612691.4,1024.85,553988.32,NA
250400905000009,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25017,Campina Grande,09,RM Campina Grande,2504009,CAMPINA GRANDE,250400905,CAMPINA GRANDE,25040090500,CAMPINA GRANDE,2504009001,Centro de Campina Grande,1,0,134,297,2.22,2.16,939.72,1415170.31,1222.54,1496112.51,665.42,925432.2,1053.27,1057073,NA
250400905000010,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25017,Campina Grande,09,RM Campina Grande,2504009,CAMPINA GRANDE,250400905,CAMPINA GRANDE,25040090500,CAMPINA GRANDE,2504009001,Centro de Campina Grande,1,0,270,758,2.81,2.26,3221.86,44396753.42,3295.08,45167410.27,1742.34,19882220.6,2362.44,25504224.01,NA
