Cod_setor,Cod_Grandes Regiões,Nome_Grande_Regiao,Cod_UF,Nome_da_UF,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,X34
250010605000001,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25007,Serra do Teixeira,00,Municípios não pertencentes a estrutura de RM,2500106,ÁGUA BRANCA,250010605,ÁGUA BRANCA,25001060500,ÁGUA BRANCA,2500106e3,ÁGUA BRANCA (todos os setores),1,0,434,1526,3.52,3.51,429.85,111252.48,483.3,99222.43,246.75,100238.62,428,96289.84,NA
250010605000002,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25007,Serra do Teixeira,00,Municípios não pertencentes a estrutura de RM,2500106,ÁGUA BRANCA,250010605,ÁGUA BRANCA,25001060500,ÁGUA BRANCA,2500106e3,ÁGUA BRANCA (todos os setores),1,0,148,500,3.38,3.38,691.12,450037.2,752.1,443836.54,414.29,367613.48,651.03,423758.93,NA
250010605000003,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25007,Serra do Teixeira,00,Municípios não pertencentes a estrutura de RM,2500106,ÁGUA BRANCA,250010605,ÁGUA BRANCA,25001060500,ÁGUA BRANCA,2500106e3,ÁGUA BRANCA (todos os setores),1,0,295,889,3.01,2.16,683.62,325739.66,749.7,307619.96,411.84,266795.31,642.43,268039.82,NA
250010605000004,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25007,Serra do Teixeira,00,Municípios não pertencentes a estrutura de RM,2500106,ÁGUA BRANCA,250010605,ÁGUA BRANCA,25001060500,ÁGUA BRANCA,2500106e3,ÁGUA BRANCA (todos os setores),8,0,217,860,3.96,4.42,313.13,82998.84,416.87,67152.99,204.14,77711.06,380.3,77776.7,NA
250010605000005,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25007,Serra do Teixeira,00,Municípios não pertencentes a estrutura de RM,2500106,ÁGUA BRANCA,250010605,ÁGUA BRANCA,25001060500,ÁGUA BRANCA,2500106e3,ÁGUA BRANCA (todos os setores),5,0,199,667,3.35,3.07,437.2,212340.79,517.88,209728.12,263.71,140484.01,439.25,156943.31,NA
250010605000006,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25007,Serra do Teixeira,00,Municípios não pertencentes a estrutura de RM,2500106,ÁGUA BRANCA,250010605,ÁGUA BRANCA,25001060500,ÁGUA BRANCA,2500106e3,ÁGUA BRANCA (todos os setores),8,0,157,604,3.85,3.36,251.68,75704.54,372.76,66907.8,151.11,59518.01,375.57,63648.13,NA
250010605000007,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25007,Serra do Teixeira,00,Municípios não pertencentes a estrutura de RM,2500106,ÁGUA BRANCA,250010605,ÁGUA BRANCA,25001060500,ÁGUA BRANCA,2500106e3,ÁGUA BRANCA (todos os setores),8,0,98,371,3.79,5.94,1916.21,228547879.88,2347.36,279597208.31,732.94,72682019.57,1294.17,127925031.4,NA
250010605000008,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25007,Serra do Teixeira,00,Municípios não pertencentes a estrutura de RM,2500106,ÁGUA BRANCA,250010605,ÁGUA BRANCA,25001060500,ÁGUA BRANCA,2500106e3,ÁGUA BRANCA (todos os setores),8,0,131,552,4.21,4.35,401.31,3068282.63,665.47,4935763.66,218.91,1078391.13,500.83,2332363.42,NA
250010605000009,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25007,Serra do Teixeira,00,Municípios não pertencentes a estrutura de RM,2500106,ÁGUA BRANCA,250010605,ÁGUA BRANCA,25001060500,ÁGUA BRANCA,2500106e3,ÁGUA BRANCA (todos os setores),8,0,181,785,4.34,4.61,270.29,101425.5,404.32,97495.54,171.1,75114.8,353.72,90740.51,NA
250010605000010,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25007,Serra do Teixeira,00,Municípios não pertencentes a estrutura de RM,2500106,ÁGUA BRANCA,250010605,ÁGUA BRANCA,25001060500,ÁGUA BRANCA,2500106e3,ÁGUA BRANCA (todos os setores),8,0,144,581,4.03,3.47,350.31,153752.2,573.24,123460.41,207.35,100895.64,447.11,110403.35,NA
